0.204,106,-62,1026
0.207,110,-76,1024
0.209,110,-68,1018
0.212,118,-74,1030
0.215,108,-68,1030
0.217,112,-74,1036
0.22,112,-72,1026
0.223,106,-66,1018
0.225,108,-76,1018
0.228,110,-68,1010
0.23,110,-78,1026
0.233,108,-72,1030
0.236,108,-68,1034
0.238,114,-76,1022
0.241,104,-76,1036
0.244,120,-72,1030
0.246,112,-72,1022
0.249,112,-74,1026
0.251,108,-68,1020
0.254,114,-78,1036
0.257,114,-72,1030
0.259,110,-78,1024
0.262,112,-72,1034
0.265,110,-70,1018
0.267,106,-76,1034
0.27,110,-76,1034
0.273,110,-72,1026
0.275,116,-74,1026
0.278,112,-74,1034
0.28,114,-72,1020
0.283,110,-72,1024
0.286,118,-76,1038
0.288,108,-72,1030
0.291,114,-72,1012
0.294,114,-66,1028
0.296,106,-76,1022
0.299,112,-70,1022
0.302,110,-68,1026
0.304,112,-70,1030
0.307,116,-70,1014
0.309,116,-64,1022
0.312,102,-66,1032
0.315,102,-64,1028
0.317,114,-68,1024
0.32,114,-64,1022
0.323,108,-66,1022
0.325,112,-74,1030
0.328,110,-68,1028
0.33,112,-70,1024
0.333,110,-74,1020
0.336,114,-66,1032
0.338,110,-64,1028
0.341,100,-68,1022
0.344,122,-76,1022
0.346,102,-68,1014
0.349,114,-68,1030
0.351,110,-68,1040
0.354,106,-72,1028
0.357,106,-64,1032
0.359,116,-74,1030
0.362,114,-76,1022
0.365,112,-72,1020
0.367,110,-74,1026
0.37,112,-72,1022
0.373,112,-68,1012
0.375,110,-66,1020
0.378,114,-78,1026
0.381,108,-64,1022
0.383,108,-70,1030
0.386,100,-78,1026
0.388,114,-70,1028
0.391,102,-66,1020
0.394,100,-68,1036
0.396,108,-82,1022
0.399,108,-76,1026
0.402,114,-74,1048
0.404,110,-74,1022
0.407,116,-80,1010
0.409,110,-68,1040
0.412,110,-80,1034
0.415,110,-76,1002
0.417,112,-72,1022
0.42,110,-70,1024
0.423,120,-76,1026
0.425,122,-76,1022
0.428,116,-74,1026
0.43,110,-74,1024
0.433,112,-74,1030
0.436,112,-66,1030
0.438,110,-68,1034
0.441,110,-72,1026
0.444,112,-68,1028
0.446,116,-76,1030
0.449,116,-76,1026
0.452,116,-76,1034
0.454,118,-76,1016
0.457,114,-74,1026
0.459,116,-76,1026
0.462,120,-70,1028
0.465,118,-62,1014
0.467,116,-70,1032
0.47,112,-68,1042
0.473,106,-68,1026
0.475,106,-78,1016
0.478,116,-74,1028
0.48,112,-78,1018
0.483,110,-68,1028
0.486,116,-84,1036
0.488,116,-80,1024
0.491,110,-70,1026
0.494,112,-66,1028
0.496,112,-72,1040
0.499,106,-64,1028
0.502,112,-64,1032
0.504,114,-78,1014
0.507,114,-80,1012
0.509,120,-70,1024
0.512,120,-72,1018
0.515,116,-74,1034
0.517,122,-78,1022
0.52,110,-72,1024
0.523,114,-80,1014
0.525,120,-78,1026
0.528,120,-66,1024
0.531,108,-62,1026
0.533,116,-82,1014
0.536,116,-78,1028
0.538,112,-68,1032
0.541,108,-82,1034
0.548,108,-70,1028
0.55,116,-68,1030
0.553,106,-68,1024
0.556,112,-74,1030
0.558,110,-70,1030
0.561,122,-76,1028
0.564,108,-70,1030
0.566,108,-74,1020
0.569,116,-74,1012
0.572,106,-66,1026
0.574,112,-82,1038
0.577,108,-78,1016
0.579,118,-68,1030
0.582,110,-66,1026
0.585,108,-68,1020
0.587,112,-74,1032
0.59,112,-78,1046
0.593,114,-74,1016
0.595,114,-76,1026
0.598,118,-68,1026
0.6,104,-68,1030
0.603,112,-80,1030
0.606,116,-76,1024
0.608,108,-74,1028
0.611,106,-68,1036
0.614,116,-72,1032
0.616,114,-70,1024
0.619,120,-78,1042
0.621,104,-68,1032
0.624,116,-68,1026
0.627,118,-74,1014
0.629,106,-70,1046
0.632,114,-72,1020
0.635,110,-66,1018
0.637,112,-80,1040
0.64,112,-72,1036
0.643,116,-76,1026
0.645,108,-68,1034
0.648,108,-70,1026
0.65,116,-84,1016
0.653,120,-72,1028
0.656,112,-68,1042
0.658,112,-84,1024
0.661,108,-76,1020
0.664,114,-78,1028
0.666,104,-70,1034
0.669,116,-76,1024
0.671,118,-70,1022
0.674,114,-76,1026
0.677,106,-66,1016
0.679,102,-66,1028
0.682,114,-66,1038
0.685,110,-74,1028
0.687,108,-72,1024
0.69,120,-72,1024
0.693,116,-74,1018
0.695,108,-66,1026
0.698,116,-74,1024
0.7,110,-68,1018
0.703,106,-72,1024
0.706,118,-74,1036
0.708,112,-68,1018
0.711,114,-80,1020
0.714,106,-70,1034
0.716,110,-74,1024
0.719,118,-70,1018
